identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/alarmType,product/capacitystatus,product/clockSpeed,product/currentGeneration,product/databaseEngine,product/dedicatedEbsThroughput,product/deploymentOption,product/ecu,product/engineCode,product/enhancedNetworkingSupported,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/licenseModel,product/location,product/locationType,product/logsDestination,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/minVolumeSize,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/platousagetype,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/region,product/servicecode,product/servicename,product/sku,product/storage,product/storageMedia,product/tenancy,product/tiertype,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/version,product/volumeApiName,product/volumeType,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod,resourceTags/aws:createdBy,resourceTags/user:Name,costCategory/All_Account_EC2_Costs,costCategory/DM_Account_All_FinOps_Formation_Costs,costCategory/MyTestCostCategorie
notev4mtorg7m4src4vjpezzpjmjlwwbl43frphhl3r7yip2jbtq,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AWSCloudTrail,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSCloudTrail,VAT,AWS EMEA SARL,AWS CloudTrail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xz6spus6pad3e3nqx7irgoarajhwz3sjffbxeykmyb6bn2rlgd6q,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,841508528727,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AWSDataTransfer,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer,VAT,AWS EMEA SARL,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piyoc3awrkslcc7ao7yllajdwqai4cb3zdolqbddgsflhh5rqauq,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AWSDataTransfer,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer,VAT,AWS EMEA SARL,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aayktza5ivvwpbn2ve4grvec5ielh4rv2t6t2nhymozpbta6ceea,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,awskms,,,,,1.0000000000,,,USD,,0.0900000000,,0.0900000000,Tax for product code awskms,VAT,AWS EMEA SARL,AWS Key Management Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s55xbmdo4vgohvl7n7zj4a7rjt2dxgtbdtqumek7ndavbezouv4a,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonDynamoDB,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonDynamoDB,VAT,AWS EMEA SARL,Amazon DynamoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sqtjszxyba4bmqadubhbalgdhixsrmkuitasardfuxzvygliyzxa,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,841508528727,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonEC2,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2,VAT,AWS EMEA SARL,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i6ha3spfqaiwlgrtsuzcxfufy5t4wfa6yekx5grpo72t42hmkwmq,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonEC2,,,,,1.0000000000,,,USD,,1.0300000000,,1.0300000000,Tax for product code AmazonEC2,VAT,AWS EMEA SARL,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dedilr3ledozdedeilwhti4xxmegehmgrlmovefllfkfb563rmbq,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonEKS,,,,,1.0000000000,,,USD,,3.1200000000,,3.1200000000,Tax for product code AmazonEKS,VAT,AWS EMEA SARL,Amazon Elastic Container Service for Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DM EKS Cost Categorie
i3daaa424uanz7nyxbbhb5capws7tj4z65loap5ib3x3r46wzhtq,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonLightsail,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonLightsail,VAT,AWS EMEA SARL,Amazon Lightsail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y3a2laannxc6427ipmehtjqapvq6zkxu5w5rp6ahyjqaeunwdt7a,2021-05-01T00:00:00Z/2021-06-01T00:00:00Z,,AWS,Anniversary,841508528727,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,157396038624,Tax,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,AmazonRDS,,,,,1.0000000000,,,USD,,0.1000000000,,0.1000000000,Tax for product code AmazonRDS,VAT,AWS EMEA SARL,Amazon Relational Database Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
